Company Name or Owners's Name,City,Company type,building,address,full_address
"Dudley Talbot,",Boston,Real Estate:,Old South bldg.,,"Old South bldg., Boston, Massachusetts, USA"
"Geo. G. Tarbell,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"Jacob Tarpin,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"Horace W. Taylor,",Boston,Real Estate:,,58 State,"58 State, Boston, Massachusetts, USA"
"John F. Teevan,",Boston,Real Estate:,,57 Lenox,"57 Lenox, Boston, Massachusetts, USA"
"Terminal Real Estate Co.,",Boston,Real Estate:,,110 Dud.,"110 Dud., Boston, Massachusetts, USA"
"J. B. Thomas,",Boston,Real Estate:,,50 Congress,"50 Congress, Boston, Massachusetts, USA"
"F. C. Tobey Land Co.,",Boston,Real Estate:,,73 Tremont,"73 Tremont, Boston, Massachusetts, USA"
"Will & Torrey,",Boston,Real Estate:,,8 Beacon,"8 Beacon, Boston, Massachusetts, USA"
"Totten & Clark,",Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
"Beni. C. Tower,",Boston,Real Estate:,,85 Congress,"85 Congress, Boston, Massachusetts, USA"
"L. D. Towle,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"R. Elmer Townsend,",Boston,Real Estate:,,82 Devonshire,"82 Devonshire, Boston, Massachusetts, USA"
"Train & Jennison,",Boston,Real Estate:,Tremont bldg.,,"Tremont bldg., Boston, Massachusetts, USA"
"Tremont Real Est. Co.,",Boston,Real Estate:,,598 Tremont,"598 Tremont, Boston, Massachusetts, USA"
"Trojan Realty Inv. Co.,",Boston,Real Estate:,,2414 Washington,"2414 Washington, Boston, Massachusetts, USA"
"Arthur & Tucker,",Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
"Wm. H. Tucker,",Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
"Walter H. Turner,",Boston,Real Estate:,,1055 Tremont,"1055 Tremont, Boston, Massachusetts, USA"
"Tuttle & Lucet,",Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
"Wm. J. Tyler,",Boston,Real Estate:,,24 Milk,"24 Milk, Boston, Massachusetts, USA"
"Russell Tyson,",Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
"P. A. Underwood,",Boston,Real Estate:,,15 Beacon,"15 Beacon, Boston, Massachusetts, USA"
"Frederick H. Viaux,",Boston,Real Estate:,Exch. bldg.,,"Exch. bldg., Boston, Massachusetts, USA"
"Viles & Smith,",Boston,Real Estate:,,11 Pemberton Square,"11 Pemberton Square, Boston, Massachusetts, USA"
"L. W. Vinal,",Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
"Hdw F. Walker,",Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
"Jas. F. Walsh & Son,",Boston,Real Estate:,,882 Bdwy. S. Bos,"882 Bdwy. S. Bos, Boston, Massachusetts, USA"
"James M. Walsh,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"M. J. Walsh,",Boston,Real Estate:,,Charlestown,"Charlestown, Boston, Massachusetts, USA"
"Geo. A. Ward,",Boston,Real Estate:,John Hancock bldg.,,"John Hancock bldg., Boston, Massachusetts, USA"
"E. M. Warren Realty Co.,",Boston,Real Estate:,,1 Beacon,"1 Beacon, Boston, Massachusetts, USA"
"T. G. Washburn,",Boston,Real Estate:,,68 Pemberton Square,"68 Pemberton Square, Boston, Massachusetts, USA"
"C. Granville Way,",Boston,Real Estate:,,830 Washington,"830 Washington, Boston, Massachusetts, USA"
"Harold K. Wead,",Boston,Real Estate:,,35 Congress,"35 Congress, Boston, Massachusetts, USA"
"Walter Webb,",Boston,Real Estate:,,8 Berkeley,"8 Berkeley, Boston, Massachusetts, USA"
"W. B. P. Weeks,",Boston,Real Estate:,,8 Congress,"8 Congress, Boston, Massachusetts, USA"
"Joseph & Louis Weinberg,",Boston,Real Estate:,,9,"9, Boston, Massachusetts, USA"
"W. Marriott Welch,",Boston,Real Estate:,,112 Water,"112 Water, Boston, Massachusetts, USA"
"Weld,",Boston,Real Estate:,Mason bldg.,,"Mason bldg., Boston, Massachusetts, USA"
"A. Spaulding Weld,",Boston,Real Estate:,,176 Federal,"176 Federal, Boston, Massachusetts, USA"
"G. E. & E. E. Welles,",Boston,Real Estate:,,235 Hunt ave,"235 Hunt ave, Boston, Massachusetts, USA"
"J. Martin Wells,",Boston,Real Estate:,,16 Elliot Square,"16 Elliot Square, Boston, Massachusetts, USA"
"P. W. Wells & Co.,",Boston,Real Estate:,,6 Beacon,"6 Beacon, Boston, Massachusetts, USA"
"Walter Welsh,",Boston,Real Estate:,,East Boston,"East Boston, Boston, Massachusetts, USA"
"Willard Welsh,",Boston,Real Estate:,,16 Exchange,"16 Exchange, Boston, Massachusetts, USA"
"Geo. F. Wentworth,",Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"Harry F. West,",Boston,Real Estate:,,100 Worcester,"100 Worcester, Boston, Massachusetts, USA"
"Wetherbee & Clark,",Boston,Real Estate:,,11 Pemberton Sq.,"11 Pemberton Sq., Boston, Massachusetts, USA"
"Harry B. Whall,",Boston,Real Estate:,Tremont bldg.,,"Tremont bldg., Boston, Massachusetts, USA"
"Herbert E. Wheat,",Boston,Real Estate:,,294 Washington,"294 Washington, Boston, Massachusetts, USA"
"George Wheatland,",Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"Merton Hayes Wheelock,",Boston,Real Estate:,Trmt bld.,,"Trmt bld., Boston, Massachusetts, USA"
"J. W. Whitcher,",Boston,Real Estate:,,7 Water,"7 Water, Boston, Massachusetts, USA"
"Whitcomb, Webb & Co.,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"Whitcomb & Co.,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"Ellerton P. Whitney,",Boston,Real Estate:,,60 Devonshire,"60 Devonshire, Boston, Massachusetts, USA"
"S. D. Whittemore,",Boston,Real Estate:,,101 Tremont,"101 Tremont, Boston, Massachusetts, USA"
"Albert R. Whittier,",Boston,Real Estate:,,16 Exchange,"16 Exchange, Boston, Massachusetts, USA"
"Alvin W. Whittler,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"C. W. Whittier & Bro.,",Boston,Real Estate:,,55 Congress,"55 Congress, Boston, Massachusetts, USA"
"Edward H. Wiggin,",Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
"Jacob W. Wilbur,",Boston,Real Estate:,,89 State,"89 State, Boston, Massachusetts, USA"
"Samuel J. Wilde,",Boston,Real Estate:,,Jamaica,"Jamaica, Boston, Massachusetts, USA"
"L. Willeutt & Co.,",Boston,Real Estate:,,28 Cumberland,"28 Cumberland, Boston, Massachusetts, USA"
"I. E. Williams & Co.,",Boston,Real Estate:,Ames bldg.,,"Ames bldg., Boston, Massachusetts, USA"
"Williams & Bangs,",Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"Williams & Co.,",Boston,Real Estate:,Old South bldg.,,"Old South bldg., Boston, Massachusetts, USA"
"Williams & Dowd,",Boston,Real Estate:,,16 State,"16 State, Boston, Massachusetts, USA"
"J. D. K. Willis & Co.,",Boston,Real Estate:,,50 State,"50 State, Boston, Massachusetts, USA"
"Winslow A. Wilson,",Boston,Real Estate:,,Dorchester,"Dorchester, Boston, Massachusetts, USA"
"Charles G. Winslow,",Boston,Real Estate:,,28 State,"28 State, Boston, Massachusetts, USA"
"H. F. Winslow,",Boston,Real Estate:,,33 Broad,"33 Broad, Boston, Massachusetts, USA"
"E. S. Wolfe,",Boston,Real Estate:,,683 Tremont,"683 Tremont, Boston, Massachusetts, USA"
"Clarence B. Wood,",Boston,Real Estate:,,82 Devonshire,"82 Devonshire, Boston, Massachusetts, USA"
"Geo. O. Wood,",Boston,Real Estate:,,31 Milk,"31 Milk, Boston, Massachusetts, USA"
"Wood, Harmon & Co.,",Boston,Real Estate:,,13 School,"13 School, Boston, Massachusetts, USA"
"FRER'K O. WOODRUFF & CO.,",Boston,Real Estate:,,60 State,"60 State, Boston, Massachusetts, USA"
"Geo. Adams Woods,",Boston,Real Estate:,,15 State,"15 State, Boston, Massachusetts, USA"
"Elijah B. Woodworth,",Boston,Real Estate:,,30 Court,"30 Court, Boston, Massachusetts, USA"
"George Wyner,",Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
"Max E & Chas. E. Wyzanski,",Boston,Real Estate:,,18 Tremont,"18 Tremont, Boston, Massachusetts, USA"
